volatility,return,sharpe_ratio
0.09869549956112529,0.0757303444738969,0.4025547735263311
0.11878921934906125,0.07684550141076163,0.34384855489905547
0.10248827336685937,0.08682952952184951,0.49595458926216784
0.10791569254928046,0.07684749687291698,0.3785130402074164
0.15030829495247425,0.07760916068498172,0.2768254453164947
0.11354036643498937,0.07564903739687565,0.3492065301689667
0.10592807163334876,0.07574940909655395,0.3752490580036186
0.11491637512983485,0.08717130668476825,0.4452916882120052
0.11130830592007068,0.0791541500530081,0.38769927990815567
0.10404042961650824,0.07325993743824256,0.3581294077271907
0.11354652788850092,0.09109835115622139,0.48524910607857796
0.12417003513502978,0.08808754154214608,0.41948559880411596
0.11582224513002205,0.07481367055248526,0.33511412690121006
0.11742416503329561,0.07204893674013158,0.30699759908797225
0.10454726579167406,0.07228602825234859,0.3470777353915107
0.09509304451566403,0.0685607026285268,0.34240887747750365
0.1108819016401528,0.06894863248262068,0.29715068009520185
0.09743556570338091,0.0630609182832027,0.27773142268792433
0.10976882489727689,0.08303678097697448,0.4285076479682835
0.10524553669223417,0.07622583326974451,0.3822093984600554
0.11405167188256643,0.07516567527288315,0.3434029034945685
0.09970925901035005,0.054963020232386715,0.19018314267502795
0.1362441369874834,0.0653142683129338,0.21515985172724808
0.09698197470548808,0.058490335507445146,0.23190222281762274
0.10474891697315283,0.07003266318690622,0.3248975184691294
0.10936534842842567,0.07083525619540913,0.3185218782364793
0.1348934756585784,0.09735532867139216,0.4548428185413898
0.12573083844112112,0.09527298661196616,0.4714275936346618
0.14821903557883045,0.09006408173883607,0.3647580186155106
0.11009711241500968,0.07243897374951243,0.33097120306076855
0.09412862714657666,0.06995808930706703,0.3607626110831049
0.11436277242810573,0.07180670213384915,0.31309753491993275
0.13274488687098446,0.09052739708106078,0.41076834194040396
0.12405582418983281,0.08617091432641139,0.4044220789637317
0.1381137898808319,0.08256847600452535,0.33717470242982855
0.13117164353324018,0.07319163162091259,0.283534082665419
0.10345592841026852,0.07548497636780507,0.38165987173999394
0.1070138565545739,0.07816002875540058,0.3939679412815126
0.10956683383378482,0.06845616731876551,0.29622255369724565
0.0961233636171516,0.057648156465915076,0.22521222366018337
0.09856941904174192,0.07053854023603592,0.3503981313048993
0.11608929713325998,0.08446768180747055,0.41750344781426363
0.14003559702620755,0.07654633897739932,0.28954308646115967
0.10825656828668953,0.08917184169566986,0.49116504002655975
0.11885418061582426,0.07719993978245385,0.3466427480210022
0.10825001652684335,0.0748137989502573,0.3585569794405753
0.11738129478734947,0.07783165838310166,0.3563741434176954
0.11668018781480836,0.09225285894620114,0.4821114878173161
0.10915717773797293,0.07619744504735473,0.3682528797496667
0.10489756661098565,0.08016252915844219,0.4210062309855066
0.12096816329283974,0.08474679374387442,0.4029720913085882
0.10952391319112321,0.09272498645943103,0.5179232991834748
0.09683652637393982,0.0724421009406271,0.3763259826142858
0.12218475679912819,0.07239720467504894,0.2978866237372471
0.11549298168159346,0.08298029100594607,0.406780484163684
